index,count
Laufey,143
Katseye,135
Beabadoobee,128
Sabrina Carpenter,128
Chappell Roan,125
"Tyler, The Creator",103
Wave to Earth,88
Grent Perez,86
The Marías,83
Kendrick Lamar,82
Keshi,79
SZA,78
Gracie Abrams,78
Wallows,69
Bruno Mars,64
Clairo,62
Dominic Fike,61
Don Toliver,59
Travis Scott,52
NIKI,50
Charli XCX,47
The Weeknd,42
Daniel Caesar,41
Tate McRae,40
Olivia Rodrigo,40
Malcolm Todd,37
Drake,37
Playboi Carti,35
Noah Kahan,35
Knock2,34
aespa,34
Omar Apollo,33
Joji,33
Kali Uchis,33
Lana Del Rey,33
JPEGMAFIA,33
Role Model,32
isoknock,31
Faye Webster,30
Brent Faiyaz,30
isoxo,29
Kaytranada,28
PinkPantheress,28
Kiss of Life,27
Ken Carson,27
Billie Eilish,27
Chase Atlantic,25
Frank Ocean,25
LE SSERAFIM,25
Zedd,25
Steve Lacy,25
IDK,24
Lauv,24
Taylor Swift,24
Illenium,24
The Driver Era,24
Conan Gray,23
Baby Keem,23
TV Girl,23
Pitbull,22
Doechii,22
John Summit,21
Lizzy McAlpine,21
Mike Sherm,21
Doja Cat,20
Magdalena Bay,20
D4VD,20
Peso Pluma,20
Troye Sivan,20
Hozier,20
DPR Ian,19
Blood Orange,19
New Jeans,19
Renee Rapp,19
Jhene Aiko,19
Blxst,19
Lyn Lapid,18
J. Cole,18
Victoria Monét,18
Kehlani,17
Mac DeMarco,17
Tinashe,17
Tame Impala,17
Thee Sacred Souls,17
Artist,17
Dom Dolla,17
Porter Robinson,17
Rex Orange County,16
Dabin,16
Fred again..,16
Lil Tecca,16
Tyla,15
Del Water Gap,15
Thuy,15
TOMORROW X TOGETHER,15
Hatsune Miku,15
Bryson Tiller,15
Zach Bryan,15
Remi Wolf,15
JID,15
NewJeans,14
Luke Chiang,14
Arctic Monkeys,14
William Black,14
Any Kpop,14
Lucki,14
Childish Gambino,14
Flo Milli,14
Glass Animals,14
Fuerza Regida,13
XG,13
Denzel Curry,13
Cuco,13
The Kid LAROI,13
Benson Boone,13
COIN,13
Vince Staples,13
Aminé,13
SLANDER,13
KSI,12
The Strokes,12
Cigarettes After Sex,12
bbno$,12
SEVENTEEN,12
Kanye West,11
Wasia Project,11
Still Woozy,11
PartyNextDoor,11
Rocco,11
Flo,11
Pierce the Veil,11
Djo,11
Yeat,11
A$AP Rocky,10
Lil Uzi Vert,10
Metro Boomin,10
Smino,10
Yuno Miles,10
The Backseat Lovers,10
Bladee,10
Snow Strippers,10
Future,10
Flipturn,10
Mitski,10
Dijon,9
Jay Park,9
Megan Thee Stallion,9
Ravyn Lenae,9
Cage the Elephant,9
Shawn Mendes,9
Rina Sawayama,9
Kesha,9
YOASOBI,9
ENHYPEN,9
Backseat Lovers,9
Bad Bunny,9
Junior H,9
Rauw Alejandro,9
Hojean,8
Weston Estate,8
Anderson .Paak,8
EAJ,8
Post Malone,8
Men I Trust,8
Phoebe Bridgers,8
Khalid,8
Peach Pit,8
Nav,8
ATEEZ,8
Paramore,8
Destroy Lonely,8
Friday Pilots Club,8
Suki Waterhouse,7
Set It Off,7
The Chainsmokers,7
Måneskin,7
Karol G,7
Deftones,7
Linkin Park,7
Subtronics,7
Japanese Breakfast,7
Fisher,7
Nueve Lio,7
Between Friends,7
Ricky Montgomery,7
GloRilla,7
Ice Spice,7
Big Time Rush,7
